parent,name,size,type
HW4,Zadacha_1.py,322,file
HW4,Zadacha_2.py,855,file
HW4,Zadacha_3.py,3760,file
HomeWork_auto_test,HW5,2155,dir
HW5,Zadacha_2.py,848,file
HW5,Zadacha_3.py,1004,file
HW5,Zadacha_4.py,303,file
HomeWork_auto_test,HW6,4082,dir
HW6,Chess_module_and_date_check,2574,dir
Chess_module_and_date_check,chess_check.py,1363,file
Chess_module_and_date_check,date_check.py,1133,file
Chess_module_and_date_check,_init_.py,78,file
HW6,main_module.py,1508,file
HomeWork_auto_test,HW7,6564,dir
HW7,create_files.py,506,file
HW7,create_files_2.py,195,file
HW7,files_splitting.py,997,file
HW7,fill_numbers.py,314,file
HW7,group_renaming.py,382,file
HW7,main.py,2083,file
HW7,names.txt,69,file
HW7,name_generator.py,523,file
HW7,new_dir_creating.py,390,file
HW7,numbers.txt,478,file
HW7,result.txt,420,file
HW7,_init_.py,207,file
HomeWork_auto_test,HW8,12267,dir
HW8,hw_pack,11544,dir
hw_pack,dir_info.py,3129,file
hw_pack,seminar_json.py,3375,file
hw_pack,__init__.py,0,file
hw_pack,__pycache__,5040,dir
__pycache__,dir_info.cpython-311.pyc,4862,file
__pycache__,__init__.cpython-311.pyc,178,file
HW8,hw_serialize.py,723,file
